TopicID,TopicName
1,Molecular Immunology
2,Biomaterials
3,Fibroblast Biology
4,"""Regenerative Medicine Tissue Repair"
5,Human Factors
6,Biomedical Data Sciences
7,Computational Systems Biology
8,Quantitative Biosciences
9,Bioinformatics And Genomics
10,Cell And Developmental Biology
11,Computational Biology
12,Stem Cells & Regeneration
13,Neuroscience
14,Translational Science
15,Mechanotransduction
16,Cell And Molecular Biomechanics
17,Regenerative Medicine
18,Fibrosis
19,Engineering Education
20,Inclusive And Equitable Student Support
21,Synthetic Biology
22,Biomanufacturing
23,Biotechnology
24,Biofilms
25,Biomineralization
26,Biosurfactants
27,Biosensors
28,Structural Biology
29,Biomechanics
30,Musculoskeletal Diseases
31,Structural Bioinformatics
32,Biomedical Data Science And Systems Biology
33,Systems Pharmacology
34,Mechanobiology
35,Musculoskeletal Tissue Engineering
36,Materials And Advanced Manufacturing For Biological Applications
37,Translational Research
38,Entrepreneurship
39,Technology Transfer
40,Innovation
41,Student Industry Preparedness
42,Advanced Biomanufacturing
43,Engineered Soft Biomaterials
44,Systems Immunology
45,Immunoengineering
46,Maternal And Placental Immune Regulation
48,Image Reconstruction And Processing
49,Imaging System Engineering
50,Cardiovascular Disease
51,Systems Biology
52,Cancer Biology
53,Cellular And Molecular Bioengineering
54,Quantitative Pharmacology
55,Tumor Heterogeneity
56,Targeted Drug And Gene Delivery
57,Biomedical Imaging
58,Tissue Engineering And Biomaterials
59,Novel Biomaterial Development
60,Drug And Cell Delivery
61,"""Molecular Biomechanics Intermolecular Bond Mechanics"
62,Design Of Clinical Instruments
63,"""Scholarship Of Teaching And Learning Self-concept"
64,Tissue Regeneration
65,Bioprinting
66,Drug Development
67,Theranostics And Image-guided Therapies
68,Multi-functional Nanoconstructs And Cellular Engineering
69,Cancer Immunotherapy
70,Cell Signaling And Cellular Decision-making
72,Targeted Therapeutics For Cancer
73,Computational Modeling Of Biological Phenomena
75,Signal And Image Processing
76,Biomechanics/injury Biomechanics Or Biomechanics And Mechanobiology
77,Cardiovascular Engineering
79,Bioinformatics And Computational Biology
81,Cancer
82,"""Biotechnology And Biomolecular Engineering Biomolecular Design"
83,Systems Bioengineering
84,Tissue Engineering
85,Advanced Biomanufacturing 3d Bioprinting
86,Cardiovascular Genetics
87,Biotechnology Engineering
88,Drug And Gene Delivery
89,Biomechanics And Mechanobiology
90,Computer Graphics And Vision
91,Machine Learning
93,Inflammation-fibrosis
94,Advanced Immunotherapies
95,Nanotechnology
96,Biomaterials Science
97,Precision Medicine
99,Biomaterials And Biofunctional Materials
100,Biosynthesis
101,Nanotechnology And Tissue Engineering
102,Data Mining
103,Bioinformatics
104,Health Informatics
105,Catalysis
106,Electrocatalysis
107,Materials Synthesis
108,Materials Characterization
109,Molecular Simulations
110,Machine Learning & Artificial Intelligence
111,Statistical Physics & Biophysics
112,Protein Separations
113,Polymers And Soft Matter
115,Bioengineering
116,Surface And Interface Science And Engineering
118,Environmental Engineering
119,Water Resources
120,Membrane Separations
121,Polymers
122,Redox Flow Battery / Fuel Cell Membranes
123,Desalination Membranes
124,Microwave Dielectric Relaxation Spectroscopy
125,Colloids And Interfaces
126,Assembly And Rheology
127,Soft Materials And Soft Matter
128,Batteries And Energy Storage
129,Particle Engineering And Characterization
130,Materials Microstructure Control And Characterization
131,Colloid And Surface Science
132,Reaction Engineering
133,Tissue Engineering And Regenerative Medicine
134,Drug Delivery
135,Biotechnology And Biomolecular Engineering
136,Polymer Synthesis And Characterization
137,Peptide Binding And Assembly
138,Therapeutic Peptide Delivery
139,Computational Catalysis
140,Quantum Chemical Calculations
141,Modeling Of Material Synthesis And Deactivation
142,Molecular Dynamics And Monte Carlo Simulations
143,Cardiovascular Tissue Engineering & Regenerative Medicine
144,Targeted Drug Delivery
146,Soft Materials
147,Polymer Physics
148,Peptide Self-assembly
149,Sustainable Transportation Systems
150,Transportation Economics
151,Transportation Demand Modeling
152,Safety
153,Carbon Capture And Sequestration
154,Negative Emissions
155,Smart Buildings/cities
156,Risk And Decision Analysis
157,Optimization Models And Methods
158,Systems Integration
159,Autonomy And Controls/control Systems
160,Intelligent Transportation Systems
161,Wireless Health
162,Structures And Mechanics (sustainable Infrastructure Systems)
163,Advanced Materials For Transportation Applications
164,Infrastructure Engineering/transportation Studies
165,Water Resources Engineering
166,Hydroinformatics
167,Stormwater
168,Flooding
169,Smart Cities
171,Infrastructure Condition Assessment
172,Structural Health Monitoring
173,Digital Twins
174,Applied Machine Learning
175,Intelligent Built Environments (smart Buildings)
176,Infrastructure Design To Enhance Mobility
177,User-centered Autonomous Vehicles And Smart Transportation Systems (smart Transportation)
178,Data-driven Mixed Reality (vr/ar)
179,Construction Automation
180,Design
181,Behavioral Science
182,Sustainability
183,Global Hydrology And Water Resources
184,"""Hydrological Extremes - Floods"
185,Harnessing Big Data In Hydrology Using Ai/ml
186,Risk Management
187,Human Machine Interface
188,Multiphysics And Multiscale Modeling
189,Intelligent Infrastructure Systems
190,Geomechanics And Geomaterials
191,Field Instrumentation
192,Energy Geotechnics
193,Geohazards
194,Structural Dynamics And Control
195,Innovative Materials For Civil Infrastructure
196,Sustainable Infrastructure Systems
197,Cybersecurity
198,Internet Of Things
199,Computational Statistics And Simulation/statistical Modeling
200,Climate Change
201,Energy Sustainability
202,Life Cycle Assessment
203,Water And Wastewater Treatment
204,Water Resources Management
205,Multi-objective Control
206,Stochastic Hydrology
207,Risk Analysis
208,Uncertainty Analysis
209,Climate Risk Management
210,Modeling Of Coupled Human-natural Systems
211,Resilience In Complex Systems
212,"""Water Resources Systems Analysis"
213,Forecast-informed Decision Making
214,Controlled Decision-making Experiments
215,Nanomaterials And Nanomanufacturing
216,Connected And Automated Vehicles
217,Molecular Diagnostics
218,Polio Eradication
219,Tracking Immunity And Virus Shedding After Oral Polio Vaccination In Resource-challenged Countries
220,Dependable And Secure Computing
221,Artificial Intelligence And Machine Learning
222,Robotics And Cyber-physical Systems
223,Smart And Connected Health
224,Hci
225,Audience Interaction
226,Informal Learning With Technology
227,3d User Interfaces
228,User Experience Design
229,Computer Science Education
230,Computational Thinking
231,"""Large Multi-scale"
232,Dynamical Networks Called Sequential/graphical Systems Grounded In Topics Ranging From Rna To Social Dynamics And Policy.
233,Theoretical And Applied Research In Intelligent Systems.
234,Translational Research-to-application Analytics And Machine Intelligence.
235,Dynamical Networks
237,Translational Research-to-application Analytics
240,Machine Learning / Artificial Intelligence Including Data Mining And Pattern Recognition
241,Robotics
242,Cyber-physical Systems
243,Autonomous Systems
244,Software Engineering
245,Operating Systems
246,Computer Networks
247,Architecture
248,Embedded Operating Systems
251,Foundations Of Machine Learning
252,Understanding Neural Networks
253,Optimization For Machine Learning
254,Analyzing Stochastic Processes With Applications In Machine Learning
255,Computer Architecture
256,Grid/cloud/high-performance Computing
257,Programming Languages And Compilers
258,Theoretical And Applied Cryptography
259,Multiparty Computation
260,Threshold Signatures
261,Zero-knowledge Proofs
262,Computational Behavior Modeling
263,Ubiquitous And Mobile Computing
264,Ai
265,Intelligent Human-centered Computing
266,Smart Health And Smart Cities
267,Parallel And Distributed Computing
269,Interaction And Interface Between The Compiler
270,"""Software Verification And Validation"
271,Software Engineering And Autonomous Systems
272,Software Testing
273,Software Security
274,Information And Coding Theory
275,Stochastic Modeling
277,Generative Ai And Its Use For Scientific And Engineering Resarch
278,Responsible Ai
279,Neuro-symbolic Ai
280,Differential Privacy
281,Algorithmic Fairness
282,Algorithms
283,Network Systems Science
284,High Performance Computing And Clouds
285,Ai For Science
286,Deep Learning Data Analytics And Simulation Surrogates
287,The Interface Of Data Engineering And Data Science With Data Systems
289,Embedded Systems
290,Wireless Sensor Networks
291,Computing Education
292,Digital Humanities
294,Evolving Networks
295,Social Network Analysis
296,Data Visualization
297,Cs In Humanities
298,Computer Architecture Performance
299,Graphics Processing Units (gpus) Cloud
300,Hardware Security And Reliability Gpus
302,Biomedical Engineering
303,Programmable Networks
304,Software-defined Networking
305,Network Measurement
306,Network Security
307,Natural Lanaguage Processing
308,Systems Software At The Intersection Of Os
309,"""Cryptography Theoretical Cryptography And Its Intersection With Algorithms"
310,Distributed Systems
311,Cloud Computing
312,Software Reliability
313,Network Science
315,Discrete Graphical Dynamical Systems And Multi-agent Systems
316,"""Computational Epidemiology"
317,Modeling And Simulation
318,High-performance Computing
319,Developing Innovative Computing Technologies For Reliable
320,Data Analytics
321,"""Theoretical Computer Science"
322,Broadening Participation In Computing
323,Increasing K-12 Access To Qualified Computing Teachers
324,Computational Methods Of Industrial Organization
325,Structural Economics For Big Data
326,Human-centered Ai
327,Mental & Digital Health
328,Behavioral Sensing
329,Ubiquitous Computing
330,Social Computing
331,Human-centered Computing
332,Digital Well-being
333,Positive Computing
334,Wireless Networking
335,Smart Sensing And Intelligent Systems
336,Mobile Computing
338,Computer Science Systems
339,Design And Analysis Of Algorithms
340,Database Systems
341,Complexity Theory
342,Compiler Construction
344,Discrete Dynamical Systems
346,Distributed Systems And Networks
348,Distributed Machine Learning
349,Machine Learning Applications
350,Smart City/building
351,Computer Game Design
352,Memory Architecture And Processing In And Near Memory (pim/pnm)
353,Automata Processing And Pattern Matching
354,Design Verification
355,Compilers
356,Computer Security
357,Randomized Algorithms
358,Combinatorial Optimization
359,Distributed Computing
362,"""Software Engineering Software Reliability (including Ml Systems)"
363,Machine Learning Graph Neural Networks
364,"""Formal Methods Automated Reasoning (e.g."
365,Reinforcement Learning
366,Game Theory
367,Algorithmic Economics
368,Multi-agent Ai
369,Security
370,Cryptography
371,"""Machine Learning Transformers And Large Language Models (llms); Reinforcement Learning; Privacy-preserving Machine Learning"""
372,"""Wireless Communications And Networking Ml For Wireless Networks; Signal Processing For Communications; Mimo."""
373,High-performance Computing With A Particular Interest In Performance Optimization And Analysis
374,Computer Architecture And Compilers
375,Biomedical Image Analysis
376,Statistical Shape Analysis
377,Bioimage Analysis
378,Millimeter-wave And Terahertz Electronics
379,Wireless And Optical Communication Systems
380,Radio-frequency Microelectromechanical Systems (rf-mems)
381,Stem Pedagogy
382,Sensors And Instrumentation
383,Optoelectronic Devices
384,Cps Cyber-security
385,Autonomous Mobile Robots (aerial And Ground Robotics)
386,Resilience In Cps
387,Heterogeneous Robotic Systems
388,Co-design And Rapid Prototyping Of Robotic Systems
389,Human-robot Interaction
390,Low Power Design
391,Vlsi Design
392,Microscale Heat Transfer
393,Nanoelectronics And 2-d Materials
394,Magnetic Materials
396,Photon Processing Of Materials
397,Photovoltaics
398,Nanomaterials
399,Devices And Sensors
400,Image Reconstruction And Inverse Problems
401,Ultrahigh Resolution Brain Mri
402,Cardiac And Pulmonary Mri
403,Metabolic Imaging
404,Biometrics
405,Thin-film And Flexible Devices
406,Smart Sensor And Aiot
407,Neuromorphic Computing
408,Superconducting Materials And Devices
409,Mm-wave And Thz Devices
410,Number Theory
411,Fluid-structure Interactions
412,Bio-inspired Robotics
413,Energy-harvesting
414,"""Machine Learning Transformers And In-context Learning; Distributed Learning And Optimization; Reinforcement Learning; Federated Learning"""
415,"""Wireless Communications Mimo; Signal Processing For Communications; Ml For Wireless; Communication Systems"""
416,Emerging Solid-state Devices For Boolean And Non-boolean Computing
417,Device And Circuit Solutions For Large-scale Data Storage
418,Integration Of Novel Materials And Conventional Devices For Functional Diversification
419,Co-design Of Emerging Devices
420,"""Signals"
421,Wireless Communications
422,Processing In Memory
423,Ai Hardware
424,Wearable Sensors And Electronics
425,Wearable Robotics
429,Mechatronics
430,Bio-inspired Systems
431,Battery/fuel Cell Technologies/energy Harvesting
432,Science
433,Control Systems
434,Intelligent Systems
435,Wearable Technology For Healthcare And Athletic Performance
436,In-memory Computing
437,Hardware-software Co-design
438,Computer-aided Design
439,Emerging Algorithm And Hardware
440,Integrated Photonics
441,Quantum Optics
442,Microwave Photonics
443,Optical Microresonators
444,Optical Frequency Combs
446,Solar Power And Waste Heat Recovery
447,Mixed-signal Vlsi Design Data Converters
448,Electronic Design Automation Machine Learning Based Design Automation
449,"""Mixed-signal Computing Neural Network Accelerators"
450,Ai-assisted Bioelectronics Medical Patch
451,"""Haptic Suits For Rehabilitation Smart Textiles"
452,Engineering Ethics
453,Animal Welfare
454,Cultural Anthropology
455,Sts
456,Feminism
457,Ethnography
458,Medical Anthropology
459,Engineering Anthropology
460,Broadening Participation
461,Critical Methodologies
462,"""Philosophy Of Technology Postphenomenology"
463,Disability Studies Cyborg-technology Relations
464,"""History Of Biology And Medicine Eugenics"
465,Media Studies Speculative Fiction
466,Military-environmental History
467,Technology And Industrialization
468,The History Of Biological And Chemical Weapons
469,The History Of Airborne Disease And Airborne Infection/public Health History
470,The Anthropocene And Climate Change
472,Ethics And Information Technology
473,Material Cultures
474,Autonomous And Smart Consumer Technologies
475,"""Sustainability Energy Materials"
476,"""Engineering Ethics Climate Change"
477,"""Design Thinking Values-based Design"
478,Engineering And Peacebuilding Peace Engineering
479,"""Engineering Ethics Education Cultivating Character Strengths In Engineering Education"
480,"""Technology And Public Deliberation Social Movements And Deliberative Systems"
482,Sustainable Design Values
483,Technology & Science Fiction
484,The Lego(r) Group's Design Values & Practices
485,Sustainability And Human Needs Equitable Sustainability - The Trailing Edge Of Technology
486,Engineering For Greater Good (egg) Sustainable Access To Infrastructure Services
487,Broadening Engagement In Engineering Education Building Self-efficacy For Success In Engineering Education
488,Capacity Factor Analysis (cfa) Capacity Building For Sustained Access To Essential Human Services In Marginalized Communities
489,Intercultural Learning And Teaching
490,History And Culture Of Guatemala
491,Ethics And Practice Of Community Engagement/service Learning
492,Maintenance
493,Surveillance
494,Data Ethics
495,Technology & Literature
496,Global Cultural Studies
498,Scientific Practice
499,Interdisciplinary Collaboration
500,Sustainability Management
501,Temporary Project Organizations
502,Behavioral Decision-making
503,Engineering Design
504,Ai Integration In Engineering Education
506,Metallurgy
507,Density Functional Theory
508,Materials Informatics
509,Machine Learning/active Learning/adaptive Learning
510,Ferroic Materials
511,Electronic Materials
512,Optical Excitations In Transmission Electron Microscopy
513,Radiation-solid Interactions Ion-solid Interactions
514,"""In-situ Transmission Electron Microscopy Coupled Extremes"
515,"""Advanced Characterization Of Quantum Nanophotonic Systems Low-temperature Luminescence"
516,Fracture Mechanics
517,Physical Metallurgy
518,Hydrogen Embrittlement
519,Corrosion
520,Additive Manufacturing
521,Alloy Development Nanocrystalline Alloys
522,Radiation Effects In Structural Materials Ion Irradiations/implantations
523,"""Materials Discovery Automation"
524,"""Electron Microscopy In-situ Techniques"
525,"""Transport Phenomena We Perform First-principles Dft Calculation Of Properties Of Materials. More Specifically"
526,Corrosion And Electrochemical Sciences And Engineering
527,Laser-materials Interactions
528,Pattern Formation Across Lengthscales By Self-assembly
530,Rapid Solidification
531,Microstructure Control In Additive Manufacturing
532,Thermoelectric Materials And Thermal Transport
533,Residual Stress In Thin Films
534,Ferroelectric Materials And Properties
535,Dielectrics And Integration
536,Ion Conducting Ceramics And Thin Films
537,Complex Oxides
538,Thin Film Processing Science
539,Thermal Transport
540,Quantum Materials
541,Critical Materials
542,Rare-earth Physics
543,Magnetism
544,Electronic Structures
545,Multifunctional Materials
546,Tailored Materials
547,Orthopaedic Implants
548,Electronic Material Integration
549,Energy Conconversion
550,High Temperature Materials Science And Oxides
551,Experimental Condensed Matter Physics
552,High Performance Alloys
553,Anti-microbial Alloys
554,"""Novel Materials: Heas"
555,Lead Pipe
556,Additive Manufacturing Processes And Materials
557,Synchrotron X-ray Imaging And Scattering
558,Highly Dynamic Processes In Hard And Soft Condensed Matters
559,High Temperature Materials Design
560,Materials Synthesis And Processing
561,Combinatorial Synthesis And High Throughput Screening
562,Environmental And Thermal Barrier Coatings
563,Microarchitectured Lattice Materials
564,Opal Crystal Growth
565,Impact/shock Mitigation
566,Thermal Properties Of Ceramics
567,Radiative Transport Processes In Oxides And Silicates
568,Solar Power
570,Thermodynamics And Kinetics
571,First-principles Alloy Theory
572,Phase Transformation
573,High Temperature Materials And Corrosion
574,Electrochemical Corrosion
575,"""Advanced In-situ/ex-situ Electron Microscopy And Spectroscopy Develop And Apply Aberration-corrected Tem/stem"
576,"""Materials For Quantum Information Science Identify Materials-related Decoherence Sources In Qubits (interfaces"
577,"""Phases & Phase Transitions In Ferroic Materials Map Lattice–charge–spin Coupling"
578,Geometric Data Analysis
580,Deep Learning On Non-euclidean Domains
581,Data-driven Design And Engineering
582,Digital Human Modeling
583,Energy Transport And Conversion
584,Material Properties
585,Thermal Management
586,Hypersonics
587,Cyber-physical Systems For Smart Manufacturing
588,Real-time Production Control
589,Knowledge-guided Machine Learning Based Control
590,Human-robot Collaboration In Industrial Settings
591,Intelligent Maintenance And Energy Management
592,Fluid Mechanics
593,Chemical Kinetics And Model Reduction
594,Combustion
595,Hypersonic Propulsion
596,Soot Nucleation
597,Synthesis And Life-cycle Analysis Of Ceramic Materials
598,Fire Initiation
599,Spacecraft Electric Propulsion
600,Space Environment
601,Plasma Physics And Engineering
602,Computational Plasma Physics
604,Ultrafast Laser Spectroscopy
605,Coherent Anti-stokes Raman Scattering
606,Optical-based Measurement And Sensor Development
607,Clean Energy Conversion
608,Hypersonic Propulsion And Aerodynamics
609,Morphing Structures/biomimetics
610,Mechanisms Of Aortic Injury In Automobile Collisions
611,Mechanisms
612,Mechanisms And Prediction Of Thoracic Injury In Automobile Collisions
613,Automobile Restraint Design
614,Effects Of Aging On Thoracic Injury And Vehicular Occupant Protection
615,Anthropomorphic Test Device Design And Evaluation
616,Orthopedic Training Simulator Design And Evaluation
617,Methods And Theory Of Automobile Occupant Injury Prediction And Modeling
618,Mechanisms And Prevention Of Non-contact Lower Extremity Injury In Athletics
619,Modeling Of Costal Cartilage Calcification As A Function Of Age
620,Injury Risk Prediction Using Statistical Techniques To Interpret Finite Element Biomechanics Models
621,"""Development Of High-order Cfd Methods For High-speed Flows (e.g."
622,Parallel Adaptive Algorithms For Both Spatial And Temporal Domains
623,Development Of Convergent Algorithms Of Hpc + Data Analytics + Optimization For Aerospace Engineering Designs
624,"""Applications Of Above Algorithms: Derive Reduced-order Models For Large Eddy Simulation; Improve Fundamental Understanding Of Physics In Complex Fluid Dynamical Systems; Innovate Practical Propulsion Devices"""
625,Exploratory Research: Quantum Computing Algorithms For Fluids
626,"""Base Research Expertise: Adaptive Mesh Refinement"
627,Computational/finite Element Modeling
628,Vehicle Safety And Crashworthiness
629,Occupant Safety
630,Human Body Modeling
631,Haptics
632,Human Factors / Human Computer Interaction
633,Computational Neuroscience
634,Biomechanics Of Cardiopulmonary Resuscitation
635,Ecg Diagnosis Of Cardiovascular Emergencies
636,High Fidelity & Vr Simulation For Medical Education
637,Trauma Biomechanics
638,Scramjets
639,Instrumentation And Laser Diagnostics
640,Wind Tunnel Testing
641,Flight Testing
642,Controls
643,Advanced Manufacturing
644,Rotating Machinery
645,Engineering Curriculum Design
646,Student Assessment
647,Injury Biomechanics
648,Automobile Safety And Traffic Injury Prevention
649,Athlete Injury And Performance
650,Smart Manufacturing
651,Nanomaterial-enabled Energy Systems
652,Biological And Bio-inspired Materials And Devices
653,Micro/nanomechanics
654,Surface Engineering
655,Tribology
656,Wind Energy And Energy Storage Systems
657,Aerospace Propulsion And Aerodynamics
658,Turbulence
659,Application Of Optical Measurement Techniques
660,Development Of Laser Sensors
661,"""Non-intrusive Measurements Of Temperature"
662,Tomography
663,Three-dimensional Measurements And Visualization
664,Experimental And Analytical Study Of Energy And Thermal Systems
665,Traumatic Brain Injury
666,Computational Biomechanics
667,Experimental Biomechanics
668,Design Of Personnel Protective Equipment
669,Micro- And Nanoscale Heat Transfer
670,Electro- And Optothermal Experimental Techniques
671,Microfabrication And Mems
672,Infrared Thermal Detection
673,"""Injury Biomechanics – Head"
674,Occupant Kinematics
675,Pedestrian Injury
676,Experimental Embalming Techniques (soft Embalming For Medical And Surgical Education)
677,Post Mortem Human Subject Training Techniques For Life Saving Procedures
678,Anatomical Injury Scaling
679,Real-world Investigation Of Crashes And Injury Mechanisms
680,Characterization Of Biological Materials And Structures
681,Impact Biomechanics For Surgical Training
682,Structure-function Relationships
683,Advanced Microscopic Imaging
684,Biomineralizing Tissues
685,Bioimaging
686,Bone
687,Fluid Mechanics Analysis/theory And Computation
688,High-speed Flow Physics
690,Metal Oxidation
691,Engineering Mechanics
692,Nanomanufacturing For Wearable Electronics
693,Engineering Design For Biomedical Devices
694,Soft-hard Integration Mechanics
695,Thermal Transport Of Mechanically Deformed Materials
697,Circular Economy And Industrial Ecology
698,System Safety And Reliability
699,Human Performance Modeling
700,Formal Methods
701,Situational And Spatial Awareness
702,Human-automation/-autonomy/-robot Interaction
703,Complex Systems Failure
704,Psychophysics And Psychometrics
705,Auditory Perception
