TopicID,TopicName
706,Technology And Democracy
708,Data Fusion
709,Knowledge Discovery
710,Simulation Optimization
711,Systems Design
712,Financial Engineering And Modeling
713,Asset Management And Portfolio Design
714,Stochastic Systems
715,Data-driven Decision Making
716,Multimodal Machine Learning For Public Health
717,Human Behavior Modeling
718,Data-centric Ai System
719,Infectious Disease Modeling
720,Decision Analysis
721,Markov Decision Processes
722,Markov Models
723,Monte Carlo Simulation Models
724,Discrete Event Simulation
725,Massively Interacting Systems And The Mathematics Supporting Rigorous Analysis And Understanding Of Their Stability And Resiliency
726,The Generic Structure And The Mathematics Of Large-scale Simulation Models Of Massively Interacting Systems
727,"""Discrete And Continuous Dynamical Systems"
729,Structure-to-function Theory Of Graph Dynamical Systems Relating Properties Of Networks
732,Business Analytics And Decision Analysis
733,Sports Analytics
734,Structure Analysis
735,Computational Solid Mechanics
736,Applied Mathematics Education
737,Artificial Neural Networks
738,Structural Applications Of Smart And Advanced Materials
739,Energy Dissipation Systems
740,Computational Mechanics
741,Intelligent Materials And Structures
742,Damage Detection And System Identification
743,Optimization Mathematical Models And Graph Theoretical Methods
744,Applied Mathematics
745,Geophysical Mass Flows
746,Computational Fluid Dynamics Electrokinetic Flows
747,Numerical Simulation
748,Data Assimilation Adjoints
750,Motivation
751,Person-situation Dynamics
752,Character Ethics
753,Leadership
754,Materials Science And Engineering
755,Mental Health
756,Digital Health
758,Networking
762,Dynamic Programming
763,Medical Decision Making
765,Thin Films
766,Semiconductors
767,Xps
768,Mbe
769,Building Energy Performance
770,Indoor Environmental Quality
772,Big Data
773,Genai In Cs Courses
774,Cs1
775,Automated Assessment Tools
776,Metacognitive Awareness
777,Error Messages
778,Nanoparticles
779,Polymer Science
780,Soft Matter
781,Adaptive Control
782,Multivariable Control
783,Nonlinear Control
785,Real-time Systems
786,Biolocomotion
788,Vehicle Stability
789,Swarm Dynamics
790,Magnesium
791,Uranium
792,Plasticity
793,Texture
794,Dislocations
795,Solid Mechanics
796,Extreme Nanomanufacturing
797,Solid-liquid Interaction
798,Soft-hard Integration
799,Data Science
800,Event Prediction
801,Event Forecasting
802,Crime Linkage
803,Transplant Analytics
805,Water Chemistry
806,Carbon Management
807,Complex Fluids
809,Neurodevelopmental Disorders
811,Cellular Heterogeneity
812,Stem Education
813,Algorithm Development
814,Numerical Computation
815,Optimization
816,Computational Chemistry
822,Bio-inspired Flow
823,Fluid Dynamics
824,Computational Fluid Dynamics
825,Insect Flight
826,Fish Swimming
827,Infectious Disease
828,Signal Transduction
829,Gpus
830,Geotechnical Engineering
835,Philosophy Of Technology
836,Eugenics
837,Transhumanism
838,Microresonators
839,Microcavities
840,Nonlinear Optics
841,Photonics
842,Computer Science
844,Literary Computing
845,Security And Privacy
846,Cs Education Scholarship/research
847,Graph Dynamical Systems
848,Modeling
849,System Architectures
850,Massively Interacting Systems
851,Coupled
852,Autonomous Vehicles
853,Optical Diagnostics
855,Flow Instrumentation
858,Systems Software
859,Construction Engineering And Management
860,Environmental Fluid Mechanics
861,Coastal Oceanography
862,Marine Ecosystems
863,Optoelectronics
864,Fatigue
865,Environment Assisted Cracking
866,Stress Corrosion Cracking
867,Hydrogen
869,Image Analysis
870,Shape Analysis
871,Statistics On Manifolds
872,Privacy
873,Innovation Studies
874,Governance
875,Responsible Innovation
876,Futures Studies
877,Sustainability Education
878,In-situ Tem
879,Electron Spectroscopy
880,Radiation-solid Interactions
881,Deep Learning
883,Trustworthy Ai
884,Smart Materials And Structures
885,Earthquake Engineering
886,Sustainable Materials
887,3d Concrete Printing
889,Visualization
890,Network Analysis
891,Vehicle Crashworthiness
892,Sports Injuries
893,Scientific Computing
895,Secure Internet Of Things
896,Structural Engineering
897,Bridge Engineering
898,Condition Assessment
899,Digital Image Correlation
900,Terahertz
901,Microwave
902,Millimeter-wave
903,Diode
904,Microwave Circuits
905,Millimeter-wave Circuits
906,Micromachining
907,Mems
908,Rf-mems
910,Epidemiology
912,Social Networks
914,Language Models
915,Mixed-signal Circuits
916,Electronic Design Automation
917,Condensed Matter Theory
919,First-principles
920,Multi-robot Systems
921,Multi-agent Systems
922,Autonomous Driving
923,Colloidal Nanoparticles
924,In-situ/operando Characterization
925,Xafs
926,Serious Games
928,Condensed Matter Physics
929,Shape Memory Alloys
930,Orthopaedics
931,Structural Design
933,Cardiac Biology
934,Signaling Networks
935,Microscopy
937,Science And Technology Studies
938,Laboratory Ethnography
939,Construction Of Expertise
940,Studies Of Scientific Practice
941,Computer Systems
942,Energy-harvesting Sensors
943,Cell Signaling
944,Tyrosine Phosphorylation
945,Engineering Sustainability
946,Extracellular Matrix
948,Complex Systems Theory
949,Economics Of Information
950,Muscle
951,Computer Modeling
952,Imaging
954,Optical Fiber Communication
955,Optical Wireless Communications
956,Visible Light Communications
957,Optical
958,Systems And Synthetic Biology
959,Neonatal And Maternal Immunology
962,Cps
963,Emergency Medicine
964,Pediatric Trauma
968,Molecular Imaging
969,Target Identification
971,Wash
972,Social Equity In Stem
974,Rural Development
975,Financial Engineering
976,Investment Management
978,Asset Management
979,Economic Analysis
980,Laser
983,Photodiode
984,Photodetector
985,Human-ai/robot Interaction
986,Molecular Modeling
987,Chromatography
988,Econometrics
989,Theory Of Computation
990,Industrial Organization
992,Laser Processing Of Materials
993,Systems Engineering
994,Healthcare
995,Sdn
997,Thermal Sciences
999,Material Thermophysics
1000,Nanoscale Heat Transport
1002,Medical Simulation
1003,Human-technology Interaction
1005,Biofabrication
1006,Hydrogels
1008,Uncertainty Quantification
1009,Stochastic Computation
1010,Smart Infrastructure Systems
1011,Bayesian Theory
1012,Decision Theory
1013,Forecasting Theory
1014,Probabilistic Forecasting
1015,Stochastic Control
1016,Software Reliability And Performance Analysis
1017,Transmission Electron Microscopy And Associated Techniques
1019,Iii-nitride
1021,Ethics
1022,Environmental Sustainability
1023,Integrated Circuits
1024,Mm-wave Circuits
1025,Integrated Antennas
1026,Silicon Photonics
1027,Graph Learning
1029,Medical Informatics
1030,Healthcare Systems
1031,Adversarial Machine Learning
1032,Privacy-preserving Machine Learning
1033,Secure Computation
1034,Flipping Frenemies
1036,Environmental Engineering And Policy
1038,Photoacoustic Imaging
1039,Ultrasound
1043,Signal Processing
1044,Multi-armed Bandits
1046,Federated Learning
1047,Wireless
1048,Trauma
1049,Post Mortem Radiology
1050,Life Saving Techniques
1052,Human-automation Interaction
1056,Peptides
1057,Electric Propulsion
1058,Plasma Physics
1060,Operations Research
1061,Lean
1063,Automobile Safety
1064,Fiber Reinforced Composites
1065,Structural Mechanics
1067,Probabilistic Ml
1068,Computational Geometry
1069,Computational Design
1070,Scientific Machine Learning
1071,Generative Modeling
1073,Industrial Ecology
1074,Mechanical Engineering
1075,Heat Transfer
1076,Simulation
1077,Collaborative Learning
1078,Inclusive Teaching
1079,Alternative Grading
1081,Vascular Biology
1083,Wireless Communications And Networking
1086,Polymeric Biomaterials
1088,Immunotherapy
1089,Autonomy
1091,Network Biology
1094,Transportation Engineering
1095,Operations
1096,Information Technology
1098,Machine Learning Acceleration
1100,Stochastic Approximation
1103,Electrochemistry
1104,Coatings
1105,Inhibitors
1107,Predictive Modeling
1108,Response Surfaces
1109,Space-time Modeling
1110,Computational Nano-electronics
1113,Intelligent Built Environments
1114,User-centered Design
1115,Behavioral Modeling
1116,Virtual And Augmented Reality
1117,Automation In Construc
1118,Ai Systems
1119,Serverless Computing
1120,Storage Systems
1123,Microfluidics
1124,Dielectrophoresis
1125,Bioimpedance
1126,Lab-on-a-chip
1127,Cytometry
1128,Nbic
1129,Technology Studies
1130,Science Fiction
1131,Charge Transport
1132,Heat Transport
1133,Thermoelectrics
1134,Rapid Prototyping
1136,Technology
1137,Labor
1138,Culture
1139,Information Theory
1140,Coding Theory
1141,Data Storage
1142,Flexible Electronics
1143,Smart Manufacturing System Modeling And Analysis
1144,Production Control
1145,Hrc
1146,Ferroelectrics
1147,Dielectrics
1149,Epitaxy
1150,Ion Conductors
1151,Angiogenesis
1152,Agent-based Modeling
1154,Microcirculation
1155,Heterogeneous Catalysis
1156,Ai Integration
1157,First-year Engineering
1158,Biological Image Analysis
1160,Ai For Healthcare
1161,Battery
1162,Materials
1163,Colloids
1164,Particles
1165,Mri
1167,Communications
1169,Tensor Decomposition
1171,Transparency
1172,Service-learning
1173,Engineering Studies
1174,Military Technology
1175,Surface And Nanoscience
1176,Silicene And Graphene
1177,Surface Chemistry
1183,Drug Discovery
1184,Scholarly Communication
1185,Professional
1186,Occupant Protection
1187,Orthopaedic Biomechanics
1188,Cyberinfrastructure
1189,Clouds
1190,Parallel Computing
1192,Flames
1193,Chemical Kinetics
1194,Soot
1196,Computational Epidemiology
1198,Scalable Computing
1199,Computer Vision
1200,Human Factors Engineering
1202,Health Equity
1203,Patient Ergonomics
1204,Gene Therapy
1205,Pharmacology
1209,Edge Computing
1212,Skeletal Development And Evolution
1215,Laser Diagnostics
1216,System Security
1217,Data Provenance
1218,Intrusion Detection
1219,Forensics
1221,Urban Hydrology
1223,Global Hydrology
1224,Remote Sensing
1225,Materials Physics
1227,Spacecraft
1228,Deliberative Democracy
1229,Tech Ethics
1232,Environmental Governance
1233,Single-cell Biology
1234,Cellular Plasticity
1237,Electroconvection
1238,Nanoscience
1240,Engineering Pedagogy
1241,Materials For Extreme Environments
1242,Gw-bse
1246,Dependable Computing
1247,Dependable Systems
1248,Cyber-physical Systems Security
1249,Medical Robotics
1251,Wearable Technology
1252,Internet Of Medical Things
1253,Medical Cyber Physical Systems
1254,Multimodal Displays
1255,Tactile
1256,Eye Tracking
1257,Vr/ar/mr
1258,Precision Health
1259,Medical Devices
1260,Cancer Screening
1261,History
1262,History Of Technology
1264,And Society
1265,Vlsi
1266,Low Power Circuits
1267,Sub-threshold
1268,Sram
1269,Body Sensor Networks
1270,Water Quality
1271,Point-of-use Water Treatment
1272,Groundwater
1279,Control Theory And Applications
1280,Low Power
1282,Nanoelectronics
1283,Electrochemical Materials Science
1284,Electrodeposition
1285,Photoelectrochemistry
1286,Functional Materials
1287,Focused Ultrasound
1289,Quantitative Imaging
1290,Image Processing
1291,Engineering
1292,Medicine
1293,Immunology
1295,Multi-modal Interfaces
1296,Vr/ar Interaction
1298,Numerical Algorithms
1299,Aerospace Propulsion Systems
1300,Multibody Mechanics
1302,Corrosion Science
1303,Service Life Prediction
1307,Laser Traps
1308,Cell Motility
1309,Engineering Education Research
1312,Hardware Acceleration
1313,Automata Processing
1314,Heterogeneous Computing
1323,Resuscitation
1324,Shock
1325,Artificial Pancreas
1326,Metabolic Simulations
1327,Diabetes Technology
1328,Impact And Injury Biomechanics
1329,Image Reconstruction
1331,Teacher Preparation
1332,Magnetic Resonance Imaging
1334,Artificial Neural Network (ann) Applications In Engineering
1335,Multi-hazard
1342,Energy Efficiency
1343,Memory Systems
1345,Gpus For Ai
1347,Llm
1348,Frequency Synthesizers
1349,Transceivers
1350,Implants
1352,Electron Energy Loss Spectroscopy
1353,Electron Energy Gain Spectroscopy
1354,Cathodoluminescence
1355,Light-matter Interactions
1356,Electron-matter Interactions
1357,Defect Phases
1358,Chemically Complex Alloys
1359,Microstructural/mechanical Response To Irradiation
1360,Propagation
1361,Suppression
1363,Tendon
10000,1. BIOMEDICAL & LIFE SCIENCES ENGINEERING
10001,1.4 Systems Biology & Bioinformatics
10002,1.4.3 Immunology & Immunoengineering
10003,3. MATERIALS SCIENCE & ENGINEERING
10004,3.4 Polymers & Soft Matter
10005,3.4.4 Biomaterials
10006,1.3 Tissue Engineering & Regenerative Medicine
10007,1.3.4 Cell & Molecular Engineering
10008,"Wound Healing"""
10009,"1.3.2 Regenerative Medicine,"
10010,8. INDUSTRIAL & SYSTEMS ENGINEERING
10011,8.4 Human Factors & Ergonomics
10012,8.4.1 Human Factors
10013,1.4.2 Bioinformatics & Computational Biology
10014,1.4.1 Systems Biology
10015,1.3.2 Regenerative Medicine
10016,1.4.4 Neuroscience & Neural Engineering
10017,9. INTERDISCIPLINARY & EMERGING FIELDS
10018,"9.4 Science,  Technology & Society"
10019,"9.4.3 Innovation Studies,"
10020,1.3.1 Tissue Engineering
10021,9.3 Engineering Education & Research
10022,9.3.1 Engineering Education
10023,9.3.3 STEM Education
10024,1.2 Biotechnology & Biomolecular Engineering
10025,1.2.3 Synthetic Biology
10026,5. MECHANICAL & AEROSPACE ENGINEERING
10027,5.4 Design & Manufacturing
10028,5.4.2 Manufacturing Processes
10029,1.2.2 Biomolecular Engineering
10030,7. CHEMICAL & NUCLEAR ENGINEERING
10031,7.1 Chemical Engineering
10032,1.1 Biomedical Engineering
10033,1.1.3 Medical Devices & Instrumentation
10034,8.4.3 Ergonomics
10035,1.1.2 Biomechanics & Injury Science
10036,9.3.4 Professional Development
10037,2. COMPUTER SCIENCE & INFORMATION TECHNOLOGY
10038,2.1 Artificial Intelligence & Machine Learning
10039,2.1.3 Computer Vision & Image Processing
10040,1.1.1 Medical Imaging & Diagnostics
10041,1.1.4 Clinical Applications
10042,1.2.1 Drug Delivery & Therapeutics
10043,"Molecular Motors,  And The Motility Of Single Cells"""
10044,"1.3.4 Cell & Molecular Engineering,"
10045,"Self-efficacy,  And Other Psychometrics That Might Be Influenced By Hands-on Experiences"""
10046,"9.3.1 Engineering Education,"
10047,3.1 Materials Synthesis & Processing
10048,3.1.2 Additive Manufacturing
10049,4. ELECTRICAL & ELECTRONICS ENGINEERING
10050,4.3 Communications & Signal Processing
10051,4.3.3 Image Processing
10052,"Cellular And Molecular Bioengineering"""
10053,"1.2.2 Biomolecular Engineering,"
10054,2.1.1 Core AI/ML
10055,3.1.4 Nanomaterials
10056,2.6 Data Science & Analytics
10057,2.6.1 Data Mining & Analytics
10058,9.5 Health & Medical Applications
10059,9.5.3 Medical Informatics
10060,7.1.1 Reaction Engineering
10061,3.1.1 Materials Synthesis
10062,3.2 Materials Characterization
10063,3.2.4 Computational Materials
10064,9.2 Physics & Applied Physics
10065,9.2.4 Statistical Physics
10066,1.2.4 Bioprocessing & Bioseparations
10067,3.4.3 Colloids & Interfaces
10068,6. CIVIL & ENVIRONMENTAL ENGINEERING
10069,6.3 Water Resources & Environmental
10070,6.3.3 Environmental Engineering
10071,6.3.1 Water Resources
10072,3.4.1 Polymer Science
10073,3.3 Materials Properties & Applications
10074,3.3.4 Energy Materials
10075,6.3.2 Water Treatment
10076,3.2.2 Spectroscopy
10077,3.4.2 Soft Materials
10078,6.2 Transportation Engineering
10079,6.2.4 Sustainable Transportation
10080,9.6 Business & Economics Applications
10081,9.6.3 Economic Analysis
10082,6.2.2 Traffic Engineering
10083,8.4.2 Safety Engineering
10084,7.3 Energy & Sustainability
10085,7.3.2 Sustainable Processes
10086,6.5 Construction & Infrastructure
10087,8.1 Operations Research
10088,8.1.4 Decision Analysis
10089,8.1.1 Optimization
10090,8.2 Systems Engineering
10091,8.2.1 Systems Analysis
10092,4.5 Control Systems & Robotics
10093,4.5.1 Control Systems
10094,6.2.3 Intelligent Transportation
10095,9.5.1 Digital Health
10096,6.1 Structural Engineering
10097,6.4 Geotechnical Engineering
10098,6.4.3 Geohazards
10099,6.5.2 Smart Infrastructure
10100,6.1.3 Structural Health Monitoring
10101,6.5.3 Building Systems
10102,"Safety,  And Comfort (mobility)"
10103,"6.5 Construction & Infrastructure, ,"
10104,2.5 Human-Computer Interaction
10105,2.5.2 VR/AR/MR
10106,6.5.1 Construction Management
10107,5.4.1 Engineering Design
10108,6.3.4 Climate & Sustainability
10109,"Droughts,  Landslides,  Wildfires And Permafrost Thaw"""
10110,"6.4.3 Geohazards,"
10111,2.5.1 HCI & User Experience
10112,5.1 Solid Mechanics & Materials
10113,5.1.2 Computational Mechanics
10114,6.4.1 Soil Mechanics
10115,9.2.2 Applied Physics
10116,5.5 Dynamics & Vibrations
10117,5.5.1 Structural Dynamics
10118,6.1.4 Construction Materials
10119,2.4 Networks & Security
10120,2.4.2 Cybersecurity
10121,2.2 Computer Systems & Architecture
10122,2.2.4 Embedded Systems
10123,9.1 Mathematics & Computational Sciences
10124,9.1.3 Statistics
10125,8.2.3 Complex Systems
10126,"Planning,  And Management"""
10127,"6.3.1 Water Resources,"
10128,9.5.4 Public Health
10129,2.7 CS Education & Research
10130,2.7.2 Educational Technology
10131,2.7.1 CS Education
10132,"High-performance Modeling And Simulation Systems Grounded In Computational And Information Sciences Spanning Mathematical,  Biological,  Psychological And Social Sciences."""
10133,"2.6.3 Scientific Computing,"
10134,9.1.4 Mathematical Modeling
10135,4.5.2 Robotics
10136,4.5.4 Cyber-Physical Systems
10137,4.5.3 Autonomous Systems
10138,2.3 Software Engineering & Systems
10139,2.3.1 Software Engineering
10140,2.3.4 Operating Systems
10141,2.4.1 Networking
10142,2.2.1 Computer Architecture
10143,2.1.2 Deep Learning & Neural Networks
10144,8.1.2 Stochastic Systems
10145,2.4.3 Cryptography
10146,2.5.3 Ubiquitous Computing
10147,"Runtime/operating System,  And Underlying Architecture"
10148,"2.2.1 Computer Architecture,"
10149,"Software Engineering,  Program Analysis"""
10150,"2.3.1 Software Engineering,"
10151,"9.4.2 Ethics & Policy,"
10152,2.4.4 Privacy & Trust
10153,9.1.2 Computational Mathematics
10154,4.3.1 Wireless Communications
10155,2.6.4 Visualization
10156,5.2 Fluid Mechanics & Thermal Sciences
10157,5.2.3 Thermodynamics
10158,4.1 Microelectronics & Nanoelectronics
10159,4.1.4 Memory & Storage
10160,Accelerators
10161,"2.4.2 Cybersecurity,"
10162,2.1.4 Natural Language Processing
10163,"Compilers,  And Architecture"
10164,"2.3.4 Operating Systems,"
10165,"With A Focus On Private Accesses On Big Data"""
10166,"2.4.3 Cryptography,"
10167,2.2.3 Distributed & Cloud Computing
10168,"Computational Economics,  Computational Immunology,  And Computational Sustainability"""
10169,"9.5.4 Public Health,"
10170,2.6.3 Scientific Computing
10171,2.2.2 High Performance Computing
10172,"Secure,  And Sustainable Socially Coupled Systems"
10173,"8.2 Systems Engineering, ,"
10174,"Including Complexity Theory And Algorithmics"""
10175,"9.1 Mathematics & Computational Sciences, ,"
10176,2.7.3 Broadening Participation
10177,9.6.4 Industrial Organization
10178,2.5.4 Digital Well-being
10179,9.1.1 Applied Mathematics
10180,2.3.3 Database Systems
10181,2.3.2 Formal Methods & Verification
10182,"Software Verification And Validation,  Software Testing"""
10183,"Sat/smt Solving,  Model Counting)"""
10184,"2.3.2 Formal Methods & Verification,"
10185,4.3.4 Communication Systems
10186,4.1.1 Semiconductor Devices
10187,8.4.4 Human-System Integration
10188,4.1.3 VLSI & Circuits
10189,5.2.2 Heat Transfer
10190,4.1.2 Nanoelectronics
10191,3.3.2 Magnetic Materials
10192,4.2 Photonics & Optoelectronics
10193,4.2.4 Laser Technology
10194,3.1.3 Thin Films & Coatings
10195,9.2.3 Quantum Systems
10196,Circuits And Metrology
10197,"4.1 Microelectronics & Nanoelectronics, ,"
10198,5.2.1 Fluid Dynamics
10199,4.4 Power & Energy Systems
10200,4.4.3 Renewable Energy
10201,Circuits And System Architecture To Enable New Computing Paradigms
10202,"Systems,  And Data Science"""
10203,"4.3 Communications & Signal Processing, ,"
10204,Technology And Society
10205,"9.4.1 Technology & Society,"
10206,5.4.4 CAD/CAM
10207,4.2.1 Photonics
10208,4.2.3 Quantum Optics
10209,"Combinatorial Optimization Accelerators"""
10210,"4.1.3 VLSI & Circuits,"
10211,"Cardiovascular Diseases"""
10212,"1.1.3 Medical Devices & Instrumentation,"
10213,"9.4 Science,  Technology & Society, ,"
10214,"Agential Realism"""
10215,"9.4.4 History of Technology,"
10216,"Genetic Medicine,  Regenerative Medicine,  And Xenotransplantation"""
10217,"E-micromobility"""
10218,"6.2.4 Sustainable Transportation,"
10219,"People,  And The Planet,  Particularly In The Mid-atlantic Region"""
10220,"Including Social And Environmental Sustainability"""
10221,"5.4.1 Engineering Design,"
10222,Environmental Peacebuilding And Energy Transition Governance
10223,"The Situated Ethical Deliberation And Action Framework (sedaf)"""
10224,"An Orientations Approach To Public Deliberation,  Deliberative Cartographies Of Ai And Environmental Justice"""
10225,"Repair,  And Restoration"
10226,"8.2.4 Reliability Engineering,"
10227,"Transparency,  And Accountability Through Data"
10228,"2.4.4 Privacy & Trust,"
10229,3.5 Structural Materials
10230,3.5.1 Metals & Alloys
10231,3.3.1 Electronic Materials
10232,3.2.1 Microscopy & Imaging
10233,7.2 Nuclear Engineering
10234,7.2.2 Radiation Effects
10235,"Data-driven Approaches"""
10236,"3.2.1 Microscopy & Imaging,"
10237,"Boson-coupling"""
10238,"4.2.1 Photonics,"
10239,5.1.3 Fracture & Fatigue
10240,3.5.4 Materials Degradation
10241,"High-throughput Approaches"""
10242,"3.1 Materials Synthesis & Processing, ,"
10243,"4dstem"""
10244,"We Do Modeling Of Electron And Phonon Transport In Crystalline Solids And Investigate The Role Of Scattering Processes On The Response Functions."""
10245,"7.1.4 Transport Phenomena,"
10246,3.5.2 Ceramics
10247,7.3.1 Energy Systems
10248,9.2.1 Condensed Matter Physics
10249,"Metallic Glass,  Imcs"""
10250,"3.5 Structural Materials, ,"
10251,"Eels/eftem,  Lorentz Microscopy,  And Electron Holography,  To Resolve Structure–property–performance Links At The Atomic Scale."""
10252,"Oxides,  Defects...)."""
10253,"9.2.3 Quantum Systems,"
10254,"Domain Topology,  And Transition Pathways Under External Stimuli,  Incl. Bias,  Heating,  Cryo,  And Magnetic Field."""
10255,"3.3.1 Electronic Materials,"
10256,5.3 Aerospace Engineering
10257,5.3.1 Aerodynamics
10258,8.3 Manufacturing & Production
10259,8.3.1 Manufacturing Systems
10260,8.2.4 Reliability Engineering
10261,5.2.4 Combustion
10262,5.3.2 Propulsion
10263,"Growth,  And Oxidation"
10264,"5.2.4 Combustion,"
10265,5.3.4 Space Systems
10266,7.2.4 Plasma Physics
10267,5.1.4 Smart Structures
10268,"Prediction,  And Prevention Of Pedestrian Injuries From Collisions With Automobiles"
10269,"1.1.2 Biomechanics & Injury Science,"
10270,"Evaluation,  And Optimization"
10271,"8.4.2 Safety Engineering,"
10272,"Supersonic And Hypersonic Regimes)"""
10273,"5.2.1 Fluid Dynamics,"
10274,"Parallel Computing,  Complex Geometry With Embedded Boundary,  Mapped Grids,  Fourth-order Finite-volume Cfd Methods For Complex Fluid Dynamics (e.g.,  Turbulence,  Chemical Reactions,  And/or,  Plasma)"""
10275,5.1.1 Structural Mechanics
10276,5.3.3 Flight Mechanics
10277,9.3.2 Educational Innovation
10278,"Multiphase Flow,  And Fluid-solid Interaction"
10279,"Pressure,  Velocity,  Chemical Composition In Harsh Environments"""
10280,"9.2.2 Applied Physics,"
10281,"C-spine,  Chest,  Abdomen And Pelvis And Extremities"""
10282,Processing And Recovery
10283,"3.5.4 Materials Degradation,"
10284,5.5.3 Acoustics
10285,8.1.3 Simulation
10286,8.2.2 Systems Design
10287,9.6.2 Financial Engineering
10288,9.6.1 Business Analytics
10289,"In Particular Graph Dynamical Systems (gds) And Their Combinatorial And Algebraic Structures"""
10290,"9.1.4 Mathematical Modeling,"
10291,"Modeling,  Framework Development,  And Mathematical Analysis Of Simulation Models Based On Graph Dynamical Systems"
10292,Functions And Update Mechanism To Global Dynamics
10293,6.1.1 Structural Analysis
10294,2.6.2 Big Data
10295,7.2.1 Nuclear Materials
10296,9.5.2 Healthcare Systems
10297,3.3.3 Optical Materials
10298,6.1.2 Earthquake Engineering
10299,3.2.3 In-situ Characterization
10300,4.2.2 Optical Communications
10301,4.3.2 Signal Processing
10302,3.5.3 Composites
10303,1.3.3 Biomaterials
10304,6.2.1 Transportation Systems
10305,5.4.3 Rapid Prototyping
10306,5.5.4 Multibody Dynamics
10307,6.5.4 Infrastructure Resilience
