OldTopicID,NewTopicID,Action
71,51,Merged
80,53,Merged
98,45,Merged
110,92,Merged
117,108,Merged
145,136,Merged
170,162,Merged
236,233,Merged
238,221,Merged
239,229,Merged
268,255,Merged
276,221,Merged
288,197,Merged
293,229,Merged
301,229,Merged
314,110,Merged
337,242,Merged
343,318,Merged
345,244,Merged
347,311,Merged
360,313,Merged
361,221,Merged
426,223,Merged
427,242,Merged
428,82,Merged
471,432,Merged
481,432,Merged
497,432,Merged
505,412,Merged
529,394,Merged
569,527,Merged
579,376,Merged
603,318,Merged
689,411,Merged
696,19,Merged
707,452,Merged
730,721,Merged
757,197,Merged
759,169,Merged
760,182,Merged
761,275,Merged
771,173,Merged
784,241,Merged
787,413,Merged
804,118,Merged
808,202,Merged
810,52,Merged
817,204,Merged
818,205,Merged
819,206,Merged
820,207,Merged
821,208,Merged
831,19,Merged
832,310,Merged
833,758,Merged
834,370,Merged
843,244,Merged
854,594,Merged
856,662,Merged
857,585,Merged
868,519,Merged
882,307,Merged
888,172,Merged
894,389,Merged
909,842,Merged
911,847,Merged
913,334,Merged
927,918,Merged
932,51,Merged
936,302,Merged
947,204,Merged
953,29,Merged
960,943,Merged
961,52,Merged
965,91,Merged
966,928,Merged
967,544,Merged
970,134,Merged
973,196,Merged
977,275,Merged
981,863,Merged
982,841,Merged
991,823,Merged
996,304,Merged
998,527,Merged
1001,604,Merged
1004,2,Merged
1007,84,Merged
1018,394,Merged
1020,221,Merged
1028,329,Merged
1035,198,Merged
1037,78,Merged
1040,17,Merged
1041,103,Merged
1042,11,Merged
1045,365,Merged
1051,700,Merged
1053,699,Merged
1054,717,Merged
1055,121,Merged
1059,700,Merged
1062,647,Merged
1066,279,Merged
1072,503,Merged
1080,34,Merged
1082,91,Merged
1084,592,Merged
1085,745,Merged
1087,778,Merged
1090,115,Merged
1092,827,Merged
1093,81,Merged
1097,438,Merged
1099,365,Merged
1101,993,Merged
1102,207,Merged
1106,708,Merged
1111,113,Merged
1112,114,Merged
1121,310,Merged
1122,318,Merged
1135,643,Merged
1148,765,Merged
1153,17,Merged
1159,375,Merged
1166,1043,Merged
1168,799,Merged
1195,586,Merged
1197,921,Merged
1201,104,Merged
1206,346,Merged
1207,348,Merged
1208,1189,Merged
1213,682,Merged
1214,604,Merged
1220,166,Merged
1222,168,Merged
1226,644,Merged
1235,747,Merged
1236,824,Merged
1239,398,Merged
1243,715,Merged
1244,719,Merged
1245,1160,Merged
1250,1155,Merged
1273,105,Merged
1274,549,Merged
1277,1157,Merged
1281,422,Merged
1288,69,Merged
1294,224,Merged
1297,824,Merged
1301,642,Merged
1304,445,Merged
1305,572,Merged
1306,19,Merged
1310,255,Merged
1311,422,Merged
1315,432,Merged
1316,452,Merged
1317,483,Merged
1319,454,Merged
1320,937,Merged
1321,456,Merged
1322,963,Merged
1330,318,Merged
1333,1329,Merged
1,1,Kept
2,2,Kept
3,3,Kept
4,4,Kept
5,5,Kept
6,6,Kept
7,7,Kept
8,8,Kept
9,9,Kept
10,10,Kept
11,11,Kept
12,12,Kept
13,13,Kept
14,14,Kept
15,15,Kept
16,16,Kept
17,17,Kept
18,18,Kept
19,19,Kept
20,20,Kept
21,21,Kept
22,22,Kept
23,23,Kept
24,24,Kept
25,25,Kept
26,26,Kept
27,27,Kept
28,28,Kept
29,29,Kept
30,30,Kept
31,31,Kept
32,32,Kept
33,33,Kept
34,34,Kept
35,35,Kept
36,36,Kept
37,37,Kept
38,38,Kept
39,39,Kept
40,40,Kept
41,41,Kept
42,42,Kept
43,43,Kept
44,44,Kept
45,45,Kept
46,46,Kept
47,47,Kept
48,48,Kept
49,49,Kept
50,50,Kept
51,51,Kept
52,52,Kept
53,53,Kept
54,54,Kept
55,55,Kept
56,56,Kept
57,57,Kept
58,58,Kept
59,59,Kept
60,60,Kept
61,61,Kept
62,62,Kept
63,63,Kept
64,64,Kept
65,65,Kept
66,66,Kept
67,67,Kept
68,68,Kept
69,69,Kept
70,70,Kept
72,72,Kept
73,73,Kept
74,74,Kept
75,75,Kept
76,76,Kept
77,77,Kept
78,78,Kept
79,79,Kept
81,81,Kept
82,82,Kept
83,83,Kept
84,84,Kept
85,85,Kept
86,86,Kept
87,87,Kept
88,88,Kept
89,89,Kept
90,90,Kept
91,91,Kept
92,92,Kept
93,93,Kept
94,94,Kept
95,95,Kept
96,96,Kept
97,97,Kept
99,99,Kept
100,100,Kept
101,101,Kept
102,102,Kept
103,103,Kept
104,104,Kept
105,105,Kept
106,106,Kept
107,107,Kept
108,108,Kept
109,109,Kept
110,110,Kept
111,111,Kept
112,112,Kept
113,113,Kept
114,114,Kept
115,115,Kept
116,116,Kept
118,118,Kept
119,119,Kept
120,120,Kept
121,121,Kept
122,122,Kept
123,123,Kept
124,124,Kept
125,125,Kept
126,126,Kept
127,127,Kept
128,128,Kept
129,129,Kept
130,130,Kept
131,131,Kept
132,132,Kept
133,133,Kept
134,134,Kept
135,135,Kept
136,136,Kept
137,137,Kept
138,138,Kept
139,139,Kept
140,140,Kept
141,141,Kept
142,142,Kept
143,143,Kept
144,144,Kept
146,146,Kept
147,147,Kept
148,148,Kept
149,149,Kept
150,150,Kept
151,151,Kept
152,152,Kept
153,153,Kept
154,154,Kept
155,155,Kept
156,156,Kept
157,157,Kept
158,158,Kept
159,159,Kept
160,160,Kept
161,161,Kept
162,162,Kept
163,163,Kept
164,164,Kept
165,165,Kept
166,166,Kept
167,167,Kept
168,168,Kept
169,169,Kept
171,171,Kept
172,172,Kept
173,173,Kept
174,174,Kept
175,175,Kept
176,176,Kept
177,177,Kept
178,178,Kept
179,179,Kept
180,180,Kept
181,181,Kept
182,182,Kept
183,183,Kept
184,184,Kept
185,185,Kept
186,186,Kept
187,187,Kept
188,188,Kept
189,189,Kept
190,190,Kept
191,191,Kept
192,192,Kept
193,193,Kept
194,194,Kept
195,195,Kept
196,196,Kept
197,197,Kept
198,198,Kept
199,199,Kept
200,200,Kept
201,201,Kept
202,202,Kept
203,203,Kept
204,204,Kept
205,205,Kept
206,206,Kept
207,207,Kept
208,208,Kept
209,209,Kept
210,210,Kept
211,211,Kept
212,212,Kept
213,213,Kept
214,214,Kept
215,215,Kept
216,216,Kept
217,217,Kept
218,218,Kept
219,219,Kept
220,220,Kept
221,221,Kept
222,222,Kept
223,223,Kept
224,224,Kept
225,225,Kept
226,226,Kept
227,227,Kept
228,228,Kept
229,229,Kept
230,230,Kept
231,231,Kept
232,232,Kept
233,233,Kept
234,234,Kept
235,235,Kept
237,237,Kept
240,240,Kept
241,241,Kept
242,242,Kept
243,243,Kept
244,244,Kept
245,245,Kept
246,246,Kept
247,247,Kept
248,248,Kept
249,249,Kept
250,250,Kept
251,251,Kept
252,252,Kept
253,253,Kept
254,254,Kept
255,255,Kept
256,256,Kept
257,257,Kept
258,258,Kept
259,259,Kept
260,260,Kept
261,261,Kept
262,262,Kept
263,263,Kept
264,264,Kept
265,265,Kept
266,266,Kept
267,267,Kept
269,269,Kept
270,270,Kept
271,271,Kept
272,272,Kept
273,273,Kept
274,274,Kept
275,275,Kept
277,277,Kept
278,278,Kept
279,279,Kept
280,280,Kept
281,281,Kept
282,282,Kept
283,283,Kept
284,284,Kept
285,285,Kept
286,286,Kept
287,287,Kept
289,289,Kept
290,290,Kept
291,291,Kept
292,292,Kept
294,294,Kept
295,295,Kept
296,296,Kept
297,297,Kept
298,298,Kept
299,299,Kept
300,300,Kept
302,302,Kept
303,303,Kept
304,304,Kept
305,305,Kept
306,306,Kept
307,307,Kept
308,308,Kept
309,309,Kept
310,310,Kept
311,311,Kept
312,312,Kept
313,313,Kept
315,315,Kept
316,316,Kept
317,317,Kept
318,318,Kept
319,319,Kept
320,320,Kept
321,321,Kept
322,322,Kept
323,323,Kept
324,324,Kept
325,325,Kept
326,326,Kept
327,327,Kept
328,328,Kept
329,329,Kept
330,330,Kept
331,331,Kept
332,332,Kept
333,333,Kept
334,334,Kept
335,335,Kept
336,336,Kept
338,338,Kept
339,339,Kept
340,340,Kept
341,341,Kept
342,342,Kept
344,344,Kept
346,346,Kept
348,348,Kept
349,349,Kept
350,350,Kept
351,351,Kept
352,352,Kept
353,353,Kept
354,354,Kept
355,355,Kept
356,356,Kept
357,357,Kept
358,358,Kept
359,359,Kept
362,362,Kept
363,363,Kept
364,364,Kept
365,365,Kept
366,366,Kept
367,367,Kept
368,368,Kept
369,369,Kept
370,370,Kept
371,371,Kept
372,372,Kept
373,373,Kept
374,374,Kept
375,375,Kept
376,376,Kept
377,377,Kept
378,378,Kept
379,379,Kept
380,380,Kept
381,381,Kept
382,382,Kept
383,383,Kept
384,384,Kept
385,385,Kept
386,386,Kept
387,387,Kept
388,388,Kept
389,389,Kept
390,390,Kept
391,391,Kept
392,392,Kept
393,393,Kept
394,394,Kept
395,395,Kept
396,396,Kept
397,397,Kept
398,398,Kept
399,399,Kept
400,400,Kept
401,401,Kept
402,402,Kept
403,403,Kept
404,404,Kept
405,405,Kept
406,406,Kept
407,407,Kept
408,408,Kept
409,409,Kept
410,410,Kept
411,411,Kept
412,412,Kept
413,413,Kept
414,414,Kept
415,415,Kept
416,416,Kept
417,417,Kept
418,418,Kept
419,419,Kept
420,420,Kept
421,421,Kept
422,422,Kept
423,423,Kept
424,424,Kept
425,425,Kept
429,429,Kept
430,430,Kept
431,431,Kept
432,432,Kept
433,433,Kept
434,434,Kept
435,435,Kept
436,436,Kept
437,437,Kept
438,438,Kept
439,439,Kept
440,440,Kept
441,441,Kept
442,442,Kept
443,443,Kept
444,444,Kept
445,445,Kept
446,446,Kept
447,447,Kept
448,448,Kept
449,449,Kept
450,450,Kept
451,451,Kept
452,452,Kept
453,453,Kept
454,454,Kept
455,455,Kept
456,456,Kept
457,457,Kept
458,458,Kept
459,459,Kept
460,460,Kept
461,461,Kept
462,462,Kept
463,463,Kept
464,464,Kept
465,465,Kept
466,466,Kept
467,467,Kept
468,468,Kept
469,469,Kept
470,470,Kept
472,472,Kept
473,473,Kept
474,474,Kept
475,475,Kept
476,476,Kept
477,477,Kept
478,478,Kept
479,479,Kept
480,480,Kept
482,482,Kept
483,483,Kept
484,484,Kept
485,485,Kept
486,486,Kept
487,487,Kept
488,488,Kept
489,489,Kept
490,490,Kept
491,491,Kept
492,492,Kept
493,493,Kept
494,494,Kept
495,495,Kept
496,496,Kept
498,498,Kept
499,499,Kept
500,500,Kept
501,501,Kept
502,502,Kept
503,503,Kept
504,504,Kept
506,506,Kept
507,507,Kept
508,508,Kept
509,509,Kept
510,510,Kept
511,511,Kept
512,512,Kept
513,513,Kept
514,514,Kept
515,515,Kept
516,516,Kept
517,517,Kept
518,518,Kept
519,519,Kept
520,520,Kept
521,521,Kept
522,522,Kept
523,523,Kept
524,524,Kept
525,525,Kept
526,526,Kept
527,527,Kept
528,528,Kept
530,530,Kept
531,531,Kept
532,532,Kept
533,533,Kept
534,534,Kept
535,535,Kept
536,536,Kept
537,537,Kept
538,538,Kept
539,539,Kept
540,540,Kept
541,541,Kept
542,542,Kept
543,543,Kept
544,544,Kept
545,545,Kept
546,546,Kept
547,547,Kept
548,548,Kept
549,549,Kept
550,550,Kept
551,551,Kept
552,552,Kept
553,553,Kept
554,554,Kept
555,555,Kept
556,556,Kept
557,557,Kept
558,558,Kept
559,559,Kept
560,560,Kept
561,561,Kept
562,562,Kept
563,563,Kept
564,564,Kept
565,565,Kept
566,566,Kept
567,567,Kept
568,568,Kept
570,570,Kept
571,571,Kept
572,572,Kept
573,573,Kept
574,574,Kept
575,575,Kept
576,576,Kept
577,577,Kept
578,578,Kept
580,580,Kept
581,581,Kept
582,582,Kept
583,583,Kept
584,584,Kept
585,585,Kept
586,586,Kept
587,587,Kept
588,588,Kept
589,589,Kept
590,590,Kept
591,591,Kept
592,592,Kept
593,593,Kept
594,594,Kept
595,595,Kept
596,596,Kept
597,597,Kept
598,598,Kept
599,599,Kept
600,600,Kept
601,601,Kept
602,602,Kept
604,604,Kept
605,605,Kept
606,606,Kept
607,607,Kept
608,608,Kept
609,609,Kept
610,610,Kept
611,611,Kept
612,612,Kept
613,613,Kept
614,614,Kept
615,615,Kept
616,616,Kept
617,617,Kept
618,618,Kept
619,619,Kept
620,620,Kept
621,621,Kept
622,622,Kept
623,623,Kept
624,624,Kept
625,625,Kept
626,626,Kept
627,627,Kept
628,628,Kept
629,629,Kept
630,630,Kept
631,631,Kept
632,632,Kept
633,633,Kept
634,634,Kept
635,635,Kept
636,636,Kept
637,637,Kept
638,638,Kept
639,639,Kept
640,640,Kept
641,641,Kept
642,642,Kept
643,643,Kept
644,644,Kept
645,645,Kept
646,646,Kept
647,647,Kept
648,648,Kept
649,649,Kept
650,650,Kept
651,651,Kept
652,652,Kept
653,653,Kept
654,654,Kept
655,655,Kept
656,656,Kept
657,657,Kept
658,658,Kept
659,659,Kept
660,660,Kept
661,661,Kept
662,662,Kept
663,663,Kept
664,664,Kept
665,665,Kept
666,666,Kept
667,667,Kept
668,668,Kept
669,669,Kept
670,670,Kept
671,671,Kept
672,672,Kept
673,673,Kept
674,674,Kept
675,675,Kept
676,676,Kept
677,677,Kept
678,678,Kept
679,679,Kept
680,680,Kept
681,681,Kept
682,682,Kept
683,683,Kept
684,684,Kept
685,685,Kept
686,686,Kept
687,687,Kept
688,688,Kept
690,690,Kept
691,691,Kept
692,692,Kept
693,693,Kept
694,694,Kept
695,695,Kept
697,697,Kept
698,698,Kept
699,699,Kept
700,700,Kept
701,701,Kept
702,702,Kept
703,703,Kept
704,704,Kept
705,705,Kept
706,706,Kept
708,708,Kept
709,709,Kept
710,710,Kept
711,711,Kept
712,712,Kept
713,713,Kept
714,714,Kept
715,715,Kept
716,716,Kept
717,717,Kept
718,718,Kept
719,719,Kept
720,720,Kept
721,721,Kept
722,722,Kept
723,723,Kept
724,724,Kept
725,725,Kept
726,726,Kept
727,727,Kept
728,728,Kept
729,729,Kept
731,731,Kept
732,732,Kept
733,733,Kept
734,734,Kept
735,735,Kept
736,736,Kept
737,737,Kept
738,738,Kept
739,739,Kept
740,740,Kept
741,741,Kept
742,742,Kept
743,743,Kept
744,744,Kept
745,745,Kept
746,746,Kept
747,747,Kept
748,748,Kept
749,749,Kept
750,750,Kept
751,751,Kept
752,752,Kept
753,753,Kept
754,754,Kept
755,755,Kept
756,756,Kept
758,758,Kept
762,762,Kept
763,763,Kept
764,764,Kept
765,765,Kept
766,766,Kept
767,767,Kept
768,768,Kept
769,769,Kept
770,770,Kept
772,772,Kept
773,773,Kept
774,774,Kept
775,775,Kept
776,776,Kept
777,777,Kept
778,778,Kept
779,779,Kept
780,780,Kept
781,781,Kept
782,782,Kept
783,783,Kept
785,785,Kept
786,786,Kept
788,788,Kept
789,789,Kept
790,790,Kept
791,791,Kept
792,792,Kept
793,793,Kept
794,794,Kept
795,795,Kept
796,796,Kept
797,797,Kept
798,798,Kept
799,799,Kept
800,800,Kept
801,801,Kept
802,802,Kept
803,803,Kept
805,805,Kept
806,806,Kept
807,807,Kept
809,809,Kept
811,811,Kept
812,812,Kept
813,813,Kept
814,814,Kept
815,815,Kept
816,816,Kept
822,822,Kept
823,823,Kept
824,824,Kept
825,825,Kept
826,826,Kept
827,827,Kept
828,828,Kept
829,829,Kept
830,830,Kept
835,835,Kept
836,836,Kept
837,837,Kept
838,838,Kept
839,839,Kept
840,840,Kept
841,841,Kept
842,842,Kept
844,844,Kept
845,845,Kept
846,846,Kept
847,847,Kept
848,848,Kept
849,849,Kept
850,850,Kept
851,851,Kept
852,852,Kept
853,853,Kept
855,855,Kept
858,858,Kept
859,859,Kept
860,860,Kept
861,861,Kept
862,862,Kept
863,863,Kept
864,864,Kept
865,865,Kept
866,866,Kept
867,867,Kept
869,869,Kept
870,870,Kept
871,871,Kept
872,872,Kept
873,873,Kept
874,874,Kept
875,875,Kept
876,876,Kept
877,877,Kept
878,878,Kept
879,879,Kept
880,880,Kept
881,881,Kept
883,883,Kept
884,884,Kept
885,885,Kept
886,886,Kept
887,887,Kept
889,889,Kept
890,890,Kept
891,891,Kept
892,892,Kept
893,893,Kept
895,895,Kept
896,896,Kept
897,897,Kept
898,898,Kept
899,899,Kept
900,900,Kept
901,901,Kept
902,902,Kept
903,903,Kept
904,904,Kept
905,905,Kept
906,906,Kept
907,907,Kept
908,908,Kept
910,910,Kept
912,912,Kept
914,914,Kept
915,915,Kept
916,916,Kept
917,917,Kept
918,918,Kept
919,919,Kept
920,920,Kept
921,921,Kept
922,922,Kept
923,923,Kept
924,924,Kept
925,925,Kept
926,926,Kept
928,928,Kept
929,929,Kept
930,930,Kept
931,931,Kept
933,933,Kept
934,934,Kept
935,935,Kept
937,937,Kept
938,938,Kept
939,939,Kept
940,940,Kept
941,941,Kept
942,942,Kept
943,943,Kept
944,944,Kept
945,945,Kept
946,946,Kept
948,948,Kept
949,949,Kept
950,950,Kept
951,951,Kept
952,952,Kept
954,954,Kept
955,955,Kept
956,956,Kept
957,957,Kept
958,958,Kept
959,959,Kept
962,962,Kept
963,963,Kept
964,964,Kept
968,968,Kept
969,969,Kept
971,971,Kept
972,972,Kept
974,974,Kept
975,975,Kept
976,976,Kept
978,978,Kept
979,979,Kept
980,980,Kept
983,983,Kept
984,984,Kept
985,985,Kept
986,986,Kept
987,987,Kept
988,988,Kept
989,989,Kept
990,990,Kept
992,992,Kept
993,993,Kept
994,994,Kept
995,995,Kept
997,997,Kept
999,999,Kept
1000,1000,Kept
1002,1002,Kept
1003,1003,Kept
1005,1005,Kept
1006,1006,Kept
1008,1008,Kept
1009,1009,Kept
1010,1010,Kept
1011,1011,Kept
1012,1012,Kept
1013,1013,Kept
1014,1014,Kept
1015,1015,Kept
1016,1016,Kept
1017,1017,Kept
1019,1019,Kept
1021,1021,Kept
1022,1022,Kept
1023,1023,Kept
1024,1024,Kept
1025,1025,Kept
1026,1026,Kept
1027,1027,Kept
1029,1029,Kept
1030,1030,Kept
1031,1031,Kept
1032,1032,Kept
1033,1033,Kept
1034,1034,Kept
1036,1036,Kept
1038,1038,Kept
1039,1039,Kept
1043,1043,Kept
1044,1044,Kept
1046,1046,Kept
1047,1047,Kept
1048,1048,Kept
1049,1049,Kept
1050,1050,Kept
1052,1052,Kept
1056,1056,Kept
1057,1057,Kept
1058,1058,Kept
1060,1060,Kept
1061,1061,Kept
1063,1063,Kept
1064,1064,Kept
1065,1065,Kept
1067,1067,Kept
1068,1068,Kept
1069,1069,Kept
1070,1070,Kept
1071,1071,Kept
1073,1073,Kept
1074,1074,Kept
1075,1075,Kept
1076,1076,Kept
1077,1077,Kept
1078,1078,Kept
1079,1079,Kept
1081,1081,Kept
1083,1083,Kept
1086,1086,Kept
1088,1088,Kept
1089,1089,Kept
1091,1091,Kept
1094,1094,Kept
1095,1095,Kept
1096,1096,Kept
1098,1098,Kept
1100,1100,Kept
1103,1103,Kept
1104,1104,Kept
1105,1105,Kept
1107,1107,Kept
1108,1108,Kept
1109,1109,Kept
1110,1110,Kept
1113,1113,Kept
1114,1114,Kept
1115,1115,Kept
1116,1116,Kept
1117,1117,Kept
1118,1118,Kept
1119,1119,Kept
1120,1120,Kept
1123,1123,Kept
1124,1124,Kept
1125,1125,Kept
1126,1126,Kept
1127,1127,Kept
1128,1128,Kept
1129,1129,Kept
1130,1130,Kept
1131,1131,Kept
1132,1132,Kept
1133,1133,Kept
1134,1134,Kept
1136,1136,Kept
1137,1137,Kept
1138,1138,Kept
1139,1139,Kept
1140,1140,Kept
1141,1141,Kept
1142,1142,Kept
1143,1143,Kept
1144,1144,Kept
1145,1145,Kept
1146,1146,Kept
1147,1147,Kept
1149,1149,Kept
1150,1150,Kept
1151,1151,Kept
1152,1152,Kept
1154,1154,Kept
1155,1155,Kept
1156,1156,Kept
1157,1157,Kept
1158,1158,Kept
1160,1160,Kept
1161,1161,Kept
1162,1162,Kept
1163,1163,Kept
1164,1164,Kept
1165,1165,Kept
1167,1167,Kept
1169,1169,Kept
1170,1170,Kept
1171,1171,Kept
1172,1172,Kept
1173,1173,Kept
1174,1174,Kept
1175,1175,Kept
1176,1176,Kept
1177,1177,Kept
1178,1178,Kept
1179,1179,Kept
1180,1180,Kept
1181,1181,Kept
1182,1182,Kept
1183,1183,Kept
1184,1184,Kept
1185,1185,Kept
1186,1186,Kept
1187,1187,Kept
1188,1188,Kept
1189,1189,Kept
1190,1190,Kept
1191,1191,Kept
1192,1192,Kept
1193,1193,Kept
1194,1194,Kept
1196,1196,Kept
1198,1198,Kept
1199,1199,Kept
1200,1200,Kept
1202,1202,Kept
1203,1203,Kept
1204,1204,Kept
1205,1205,Kept
1209,1209,Kept
1210,1210,Kept
1211,1211,Kept
1212,1212,Kept
1215,1215,Kept
1216,1216,Kept
1217,1217,Kept
1218,1218,Kept
1219,1219,Kept
1221,1221,Kept
1223,1223,Kept
1224,1224,Kept
1225,1225,Kept
1227,1227,Kept
1228,1228,Kept
1229,1229,Kept
1230,1230,Kept
1231,1231,Kept
1232,1232,Kept
1233,1233,Kept
1234,1234,Kept
1237,1237,Kept
1238,1238,Kept
1240,1240,Kept
1241,1241,Kept
1242,1242,Kept
1246,1246,Kept
1247,1247,Kept
1248,1248,Kept
1249,1249,Kept
1251,1251,Kept
1252,1252,Kept
1253,1253,Kept
1254,1254,Kept
1255,1255,Kept
1256,1256,Kept
1257,1257,Kept
1258,1258,Kept
1259,1259,Kept
1260,1260,Kept
1261,1261,Kept
1262,1262,Kept
1263,1263,Kept
1264,1264,Kept
1265,1265,Kept
1266,1266,Kept
1267,1267,Kept
1268,1268,Kept
1269,1269,Kept
1270,1270,Kept
1271,1271,Kept
1272,1272,Kept
1275,1275,Kept
1276,1276,Kept
1278,1278,Kept
1279,1279,Kept
1280,1280,Kept
1282,1282,Kept
1283,1283,Kept
1284,1284,Kept
1285,1285,Kept
1286,1286,Kept
1287,1287,Kept
1289,1289,Kept
1290,1290,Kept
1291,1291,Kept
1292,1292,Kept
1293,1293,Kept
1295,1295,Kept
1296,1296,Kept
1298,1298,Kept
1299,1299,Kept
1300,1300,Kept
1302,1302,Kept
1303,1303,Kept
1307,1307,Kept
1308,1308,Kept
1309,1309,Kept
1312,1312,Kept
1313,1313,Kept
1314,1314,Kept
1318,1318,Kept
1323,1323,Kept
1324,1324,Kept
1325,1325,Kept
1326,1326,Kept
1327,1327,Kept
1328,1328,Kept
1329,1329,Kept
1331,1331,Kept
1332,1332,Kept
1334,1334,Kept
1335,1335,Kept
